SCENARIO,CASE,SubWS,CASE2,TER.AREA,TA,NP,PD,TE,ED,LSI,AREA_AM,PARA_AM,PAFRAC,NDCA,DCAD,CWED,TECI,ECON_AM,CONTAG,CONNECT,COHESION,DIVISION,RPR,SHDI,AI,CA.DEV,PLAND.DEV,NP.DEV,CWED.DEV,TECI.DEV,CA.FOR,PLAND.FOR,NP.FOR,CWED.FOR,TECI.FOR,CA.LOAG,PLAND.LOAG,NP.LOAG,CWED.LOAG,TECI.LOAG,CA.HIAG,PLAND.HIAG,NP.HIAG,CWED.HIAG,TECI.HIAG,CA.WTR,PLAND.WTR,NP.WTR,CWED.WTR,TECI.WTR,POP_MIN,POP_MAX,POP_RANG,POP_MEAN,POP_STD,POP_SUM,MEAN_RI,AMP_MIN,AMP_MAX,AMP_RANG,AMP_MEAN,AMP_STD,AMP_SUM,P_AVL_TOT,P_AVL_HA,P_RET_TOT,P_RET_HA,P_EXP_TOT,P_EXP_HA,N_AVL_TOT,N_AVL_HA,N_RET_TOT,N_RET_HA,N_EXP_TOT,N_EXP_HA,P_VALUE,N_VALUE,GITTEST
BE,BENSubwatershed19,19,BE19,12346.6815,12400.0799,5038,40.6288,1584286.5809,127.7642,36.7961,343.5874,258.81,1.3594,5038,40.6288,28.7812,21.7686,22.573,30.0646,.1776,96.7288,.9723,100,1.2759,80.8978,3092.9123,24.9427,1366,9.2596,15.7566,4952.0131,39.9353,959,21.4241,26.9461,3453.3967,27.8498,1834,21.5769,23.1444,848.3594,6.8416,794,4.6467,18.5678,53.3983,.4306,85,.4429,19.3955,0,71.3778457642,71.3778457642,.198172929226,1.38742423786,26970.14663,7.36000066168462,0,22.6269874573,22.6269874573,2.14977670188,2.40735310295,292533.014485,6325.55512251999,.512328363092543,4708.32778201351,.381343584672003,1617.22734050648,.13098477842054,43642.99566935,3.53479561851094,30719.3521558539,2.48806548997429,12923.6435134961,1.04673012853665,25657523.2374773,13999318.7552898,0
BE,BENSubwatershed2,2,BE2,6356.4989,6379.7354,2779,43.5598,839943.8697,131.6581,27.5491,619.2744,267.4233,1.3623,2779,43.5598,32.0626,23.2046,25.1243,34.2333,.2835,97.3312,.9029,100,1.165,80.3895,887.7247,13.9148,787,8.845,15.7855,3486.8391,54.6549,497,26.0032,27.3876,1474.4686,23.1118,1135,23.1334,25.0594,507.4665,7.9544,303,5.2002,23.8195,23.2365,.3642,57,.4652,20.2284,.000141079668538,38.076210022,38.0760689423,.111073165517,1.15647334664,7774.34407402,7.43502771442688,0,22.2934513092,22.2934513092,1.28978244553,1.4987697342,90301.5383586,2935.89031394979,.461872228743685,2155.90370490336,.339165276171661,779.986609046429,.122706952572025,19680.4901850894,3.0961210714737,14351.5610630491,2.25777763653025,5328.92912204028,.838343434943453,11748364.1681943,6540244.62945403,0
BE,BENSubwatershed20,20,BE20,3934.073,3934.802,233,5.9215,89171.3995,22.6622,5.7608,3543.8694,59.2716,1.348,233,5.9215,3.6635,9.9631,9.9426,87.9782,1.835,99.6612,.0994,100,.2094,96.0718,3740.9824,95.0742,31,3.5901,9.8559,180.8801,4.5969,147,3.2364,16.0892,12.0283,.3057,50,.4249,16.9908,.1822,.0046,2,.0166,27,.729,.0185,3,.0332,19.6818,.0165954120457,31.5920448303,31.5754494183,.963599839803,.625184741055,41614.0226817,7.82329186915921,0,38.2323989868,38.2323989868,5.89402636418,3.6005081813,254557.104642,1746.88098956883,.444038783614039,877.303776082637,.223001397300619,869.577213486195,.22103738631342,18469.3364071101,4.69471115739593,8748.68463913267,2.22382366548172,9720.65176797742,2.47088749191421,4780772.08370159,3986920.82864732,0
BE,BENSubwatershed21,21,BE21,9979.4764,9995.3319,4196,41.9796,1352362.4569,135.2994,35.0234,133.6366,273.6189,1.3589,4196,41.9796,32.4919,23.1662,24.7372,29.9588,.2147,95.5983,.9866,100,1.259,79.8167,1007.4609,10.0793,921,6.1254,16.3777,3321.6322,33.2318,745,23.8226,31.3891,4132.9044,41.3483,1440,25.9774,22.6668,1517.4789,15.1819,1004,8.3192,18.8107,15.8555,.1586,86,.3754,25.1599,0,102.499000549,102.499000549,.104758360268,.908372133939,11491.9921213,7.44015724149338,0,21.9462871552,21.9462871552,.939393076228,1.33448128196,103034.511387,7577.65332660871,.759323738328466,5589.09697337761,.560059140314978,1988.55635323109,.199264598013488,41411.3771209568,4.14965429658782,30054.5372226282,3.01163468081634,11356.8398983286,1.13801961577149,30457179.7271141,13696351.5534984,0
BE,BENSubwatershed22,22,BE22,3834.8396,3842.3117,1025,26.6766,349259.6792,90.8983,15.5195,1773.4256,190.1401,1.3671,1025,26.6766,16.5805,16.5435,15.9101,55.9965,.7392,99.0229,.5384,100,.7701,86.2946,2684.4059,69.8643,266,12.3321,14.4912,951.3289,24.7593,354,13.5892,18.575,191.4504,4.9827,330,6.3597,22.3987,7.6544,.1992,50,.4522,21.9695,7.4721,.1945,25,.2522,17.6374,.000985361053608,73.9647598267,73.9637744656,.535173597239,1.72285307995,22577.9037203,7.70767173442308,0,28.4640464783,28.4640464783,4.5620809064,2.88570963609,192410.324309,1526.19095436262,.397980388635453,748.691461895248,.195234101028697,777.499492467376,.202746287606756,15638.7469719797,4.07807068957454,8087.57872305469,2.10897444655956,7551.16824892504,1.96909624301497,4079913.18163138,3685643.88754426,0
BE,BENSubwatershed23,23,BE23,12063.1055,12088.7111,1405,11.6224,477643.5526,39.5115,13.2133,8787.2766,87.0787,1.3414,1405,11.6224,7.0377,14.6293,13.6133,75.2534,.4163,99.5885,.2731,100,.4643,93.7793,10410.4904,86.1175,316,5.5134,13.0308,1458.7043,12.0667,647,6.0519,17.7473,191.3593,1.583,370,2.142,23.2847,2.5515,.0211,18,.0516,22.4783,25.6057,.2118,54,.2163,17.4637,.00830350629985,105.54385376,105.535550253,1.10325404264,2.20498356238,140887.747753,7.75953406722569,0,42.5441856384,42.5441856384,5.43506218378,3.59543147718,721015.3493,4877.06015168238,.404295573116092,2370.86168251948,.196538253148784,2506.1984691629,.207757319967308,53106.8305094689,4.40241781102461,25238.606508588,2.09221468788348,27868.2240008809,2.31020312314113,12919754.4284128,11501651.9769192,0
BE,BENSubwatershed24,24,BE24,7989.1579,8046.2923,969,12.0428,293957.7144,36.5333,9.7185,6015.0881,79.5945,1.3434,969,12.0428,6.9483,16.0146,13.864,75.0282,.7117,99.4323,.2524,100,.4782,94.4381,7010.3097,87.1247,160,4.6043,13.1204,777.192,9.659,356,5.0844,19.088,191.8149,2.3839,345,3.2463,22.9766,9.8413,.1223,51,.2727,24.0662,57.1344,.7101,57,.6275,24.1023,.000834141508676,71.6999664307,71.6991322892,.799611847222,1.92682596875,70600.1288268,7.75691782956628,0,76.5814971924,76.5814971924,5.59734274423,3.88494535941,494340.519142,6151.69511842837,.770005449313797,2772.22605305453,.346998530728067,3379.46906537384,.423006918585729,44413.4114405084,5.5592106197461,20243.7317850143,2.53390057355285,24169.6796554941,3.02531004619325,15106946.1747136,9225404.64451177,0
BE,BENSubwatershed25,25,BE25,11106.0357,11153.7844,3515,31.514,1149085.4751,103.022,28.4843,794.1854,209.4271,1.3515,3515,31.514,23.3753,21.6586,22.1982,41.678,.2175,97.9558,.9288,100,1.075,84.6249,3244.8152,29.0916,919,8.6252,15.3721,5838.6443,52.3468,741,19.0189,24.6505,1889.3537,16.9391,1469,17.0547,25.4548,133.2225,1.1944,268,1.2638,20.1102,47.7487,.4281,118,.491,17.0508,.000669318600558,76.3716049194,76.3709356008,.286956040511,2.02349626483,35130.5932596,7.4062497732839,0,24.8970737457,24.8970737457,2.47301381963,2.43139220762,302682.05344,3055.38893248804,.275110670901953,2141.83758388026,.192853475509741,913.551348607783,.082257195392212,31537.9315863624,2.8397109858347,21283.8645083063,1.91642320295318,10254.0670780561,.923287782881527,11671712.3623472,9699410.39395912,0
BE,BENSubwatershed26,26,BE26,9348.1731,9381.6154,2770,29.5258,884137.1429,94.2415,24.3731,2728.4126,193.7405,1.3474,2770,29.5258,19.5033,19.3685,18.2114,48.1214,.2599,98.8818,.7092,100,.9476,85.8199,5486.1788,58.478,553,10.2484,14.8946,2886.4266,30.7668,814,15.3545,21.9382,941.4875,10.0355,1133,12.0124,24.4485,34.0802,.3633,141,.6507,22.3695,33.4423,.3565,129,.52,17.918,.00179333565757,72.8450469971,72.8432536614,.454319307839,1.61700823945,46758.9974821,7.48377022199679,0,36.3273200989,36.3273200989,3.99856988212,2.99086222185,411700.752202,3988.13749741585,.426622127634313,2130.29119472616,.227883156627273,1857.8463026897,.198738971007041,36090.6544889882,3.86071739396741,19320.3537813311,2.06675182141537,16770.3007076571,1.79396557255204,11608791.5629156,8804605.95905771,0
BE,BENSubwatershed27,27,BE27,4688.5752,4727.8494,1560,32.996,477764.2992,101.0532,19.0932,526.39,209.8959,1.3429,1560,32.996,21.5829,19.4127,18.8477,40.436,.4763,97.2073,.8887,100,1.1108,84.8352,2494.3224,52.7581,302,10.0067,14.7575,1257.8682,26.6055,308,13.9785,24.0268,850.4552,17.9882,670,15.897,22.6716,85.9294,1.8175,156,1.5719,19.4771,39.2742,.8307,124,1.2413,21.6975,0,144.593734741,144.593734741,.324034429715,2.18867618193,16807.0178005,7.75896176837816,0,38.0848922729,38.0848922729,4.0275568606,3.08640364693,208981.870383,2675.92662952835,.570733435080309,1562.38222806999,.333231773283702,1113.54440145836,.237501661796606,19702.0088907331,4.20213136193979,11354.5398072764,2.42174633506496,8347.46908345668,1.78038502687483,8514033.04495173,5174452.28907274,0
BE,BENSubwatershed28,28,BE28,12473.2521,12515.5333,4876,38.9596,1548334.2665,123.713,35.9023,356.4678,250.2287,1.3634,4876,38.9596,29.5009,22.9569,24.1839,36.3669,.1701,96.7865,.9715,100,1.1428,81.5207,2719.3062,21.7274,1277,8.788,15.5908,6252.0715,49.9545,996,23.3367,27.2135,3163.8975,25.2798,1977,23.8238,25.2479,337.9769,2.7005,466,2.1754,19.607,42.2813,.3378,160,.5136,19.3582,.00010352886602,85.3631668091,85.3630632802,.255745565525,2.10277416572,35126.3976794,7.37591131524649,0,24.4643630981,24.4643630981,1.99546015065,2.13384668538,274108.379054,4901.46761165655,.392958273621083,3614.34044374027,.289767288816384,1287.12716791628,.103190984804699,37387.6351791583,2.99742479983695,26703.4283583541,2.14085533943102,10684.2068208042,.856569460405932,19695957.5069691,12169195.6116466,0
BE,BENSubwatershed29,29,BE29,13849.034,13897.8762,6378,45.8919,1800453.2674,129.5488,39.4418,764.9082,262.1645,1.3567,6378,45.8919,31.3877,23.426,24.4864,31.3145,.1377,97.382,.945,100,1.24,80.6131,2700.0791,19.428,1547,9.2227,16.1045,6694.4758,48.1691,1324,24.9381,27.2447,3275.1593,23.5659,2597,22.4703,25.1062,1179.3198,8.4856,689,5.0617,24.3461,48.8422,.3514,221,.7864,25.604,.000599247636274,180.142288208,180.14168896,.269279153956,1.80745710302,41070.7258405,7.68443453900627,0,42.5013427734,42.5013427734,1.69167043969,2.01375114577,258015.267132,6776.5692508533,.489317106944304,4635.35553430805,.334706054899428,2141.21371654525,.154611052044875,46688.3662560955,3.37123630832992,31734.1013138065,2.2914306740677,14954.2649422889,1.07980563426221,25259868.8625321,14461756.7926146,0
BE,BENSubwatershed3,3,BE3,8946.1364,9150.7997,4526,49.4602,1263100.4974,138.0317,34.1427,221.8922,279.4084,1.3333,4526,49.4602,34.5706,24.2065,24.4545,21.1066,.1849,94.3493,.9758,100,1.4518,79.4472,1899.7418,20.7604,931,8.0847,17.3128,2657.2511,29.0385,981,24.8728,30.7277,2461.5179,26.8995,1731,21.2469,22.7429,1927.6256,21.0651,713,13.0459,25.3932,204.6633,2.2366,170,1.5587,22.3722,0,47.9357414246,47.9357414246,.212455304578,1.13156497295,21331.7873114,7.69758394794825,0,25.2398891449,25.2398891449,1.53236480967,2.03017681693,153877.009457,7572.57920685649,.846463642881243,4697.51530518622,.525088719325386,2875.06390167027,.321374923555858,42006.5257674605,4.69549355042926,25697.2058685491,2.87243618022067,16309.3198989114,1.8230573702086,25598601.8139284,11710643.3185496,0
BE,BENSubwatershed30,30,BE30,5758.0912,5836.184,2989,51.215,786815.3446,134.8167,26.9911,450.909,273.8851,1.3606,2989,51.215,31.4066,22.1858,22.727,34.4458,.2864,96.9758,.9227,100,1.1464,79.9172,1329.8557,22.7864,873,10.0287,15.4939,3105.8519,53.2172,543,25.5301,25.245,1174.0346,20.1165,1112,22.388,25.6271,148.349,2.5419,317,3.0587,22.7271,78.0928,1.3381,144,1.2818,17.7769,.000233977625612,93.4497833252,93.4495493476,.354439554275,2.64092187783,22699.0179349,7.48812855950167,0,27.3677177429,27.3677177429,1.89885244637,2.00053334286,121615.802632,1987.85541778029,.345228192596235,1419.65960685013,.24655038580322,568.195810930162,.0986778067930154,16895.4723690972,2.9342140966953,11853.3287404679,2.05855175417644,5042.14362862926,.875662342518864,7736281.55015322,5401758.68641901,0
BE,BENSubwatershed31,31,BE31,4856.6068,4876.2895,948,19.441,347267.3595,71.2155,14.1469,2592.0322,151.7415,1.3586,948,19.441,12.7904,15.7721,15.1165,62.2166,.6695,99.2193,.4684,100,.6808,89.1261,3684.8503,75.5667,207,9.7398,13.9209,998.8042,20.4829,398,11.0451,18.1064,169.3074,3.4721,286,4.1732,23.4889,3.6449,.0747,23,.1396,18.4836,19.6827,.4036,34,.3811,16.9148,.0018324572593,125.876754761,125.874922303,.725672006105,2.167592754,38844.4968148,7.60369133790914,0,35.3545761108,35.3545761108,4.95253199622,3.21163427214,265014.93965,1731.65742674837,.356557056821723,840.79702310213,.173124376283073,890.860403646237,.18343268053865,19512.4320211783,4.01770882937822,9418.61059991134,1.93933974640717,10093.821421267,2.07836908297105,4581832.48002735,4292217.21054375,0
BE,BENSubwatershed32,32,BE32,13202.0574,13207.8894,695,5.262,223502.0453,16.9219,6.8734,11873.0611,40.7094,1.3199,695,5.262,2.8816,12.0363,11.1857,88.7999,.7905,99.7284,.1011,100,.2075,97.2316,12592.7149,95.3424,110,2.5433,11.2744,544.007,4.1188,330,2.326,16.7722,61.8728,.4685,198,.7119,19.8661,3.4627,.0262,32,.0839,26.2357,5.8319,.0442,25,.0703,18.5422,0,99.5805664063,99.5805664063,1.18859467748,1.20258104884,171735.29057,7.88543877801771,0,85.6062088013,85.6062088013,6.38853067881,4.46552967062,925972.802179,8839.23918739642,.66953497622245,4189.98979707593,.317374002409347,4649.24939032049,.352160973813103,71297.3340525068,5.4004714486779,32475.8380163475,2.45990734870972,38821.4960361593,2.94056409996818,22832896.4253407,14799778.521676,0
BE,BENSubwatershed33,33,BE33,4002.4155,4008.4297,1201,29.9619,391671.9392,97.7121,17.075,662.8552,203.5273,1.3439,1201,29.9619,20.8359,19.29,18.7241,43.1243,.6003,97.5085,.8346,100,1.0595,85.3529,2144.8639,53.5088,258,9.924,14.3989,1058.3989,26.4043,337,14.6275,23.9975,755.8691,18.857,482,15.27,23.0365,43.2836,1.0798,86,1.0942,18.7726,6.0141,.15,38,.3366,21.9069,.00257533998229,118.879180908,118.876605568,.494450050831,1.94265394308,21751.3521861,7.62932834628713,0,28.6207237244,28.6207237244,4.21624323102,2.99758601626,185493.620949,1934.65120895999,.483370906633753,1147.62415627602,.286732888246117,787.027052683961,.196638018387636,15806.5787432045,3.94925982652338,8999.0934618774,2.24841560349679,6807.48528132708,1.70084422302659,6253853.77161447,4101036.28625707,0
BE,BENSubwatershed34,34,BE34,10736.7123,10761.7713,2228,20.7029,768824.0941,71.4403,19.9404,4021.8734,147.6042,1.335,2228,20.7029,14.54,18.8922,17.3131,54.4891,.2666,99.0452,.6263,100,.8673,89.2838,7105.8982,66.0291,402,7.982,14.8149,2704.6353,25.1319,617,11.4176,21.5893,865.1261,8.0389,998,8.6885,23.7978,61.0527,.5673,125,.5446,21.013,25.059,.2329,86,.2931,16.8532,.000569561554585,153.889251709,153.888682147,.750577764295,2.05556594591,88654.4926297,7.66466383476528,0,50.7829399109,50.7829399109,4.67407691749,3.28064114474,551989.787648,4882.43447628192,.454742042057132,2666.50332363229,.24835380227449,2215.93115264963,.206388239782641,44336.9888688326,4.12947535800439,23626.2410738036,2.20050984078279,20710.747795029,1.9289655172216,14530821.5902606,10766870.2810996,0
BE,BENSubwatershed35,35,BE35,7255.6141,7289.2386,2396,32.8704,731453.0065,100.347,22.5309,743.7005,204.4542,1.3472,2396,32.8704,23.528,22.2754,22.5785,38.7521,.3086,97.6644,.898,100,1.1605,85.1243,2385.6121,32.7279,567,7.4832,15.3681,3286.0941,45.0814,419,17.9348,26.7826,1395.4646,19.1442,1023,18.5216,24.8221,188.4433,2.5852,256,2.1171,20.174,33.6246,.4613,131,.7215,19.5764,.000804394774605,104.410850525,104.41004613,.32538858364,1.62905123571,26035.9675199,7.50627975206695,0,26.9096660614,26.9096660614,2.76536450497,2.77434758865,221234.691126,2871.8576147104,.395811791411344,1957.86945541952,.269842004885503,913.988159290882,.125969786525841,23731.9220236838,3.27083575512702,15354.9671314283,2.11628773523503,8376.95489225544,1.154548019892,10669197.9348326,6997513.43255137,0
BE,BENSubwatershed36,36,BE36,7502.2853,7544.4754,2268,30.0617,717235.0888,95.0676,22.0799,1652.9605,195.4807,1.3495,2268,30.0617,20.5088,20.1514,18.8838,41.6684,.3213,98.1791,.7809,100,1.1034,85.7937,4097.6396,54.3131,406,9.0238,15.3067,2027.7703,26.8776,580,14.9276,23.9677,1160.8217,15.3864,982,14.4141,23.1819,216.0537,2.8637,221,1.8903,19.9346,42.1902,.5592,79,.4858,18.7941,.000500463880599,120.288589478,120.288089014,.583041472823,1.80894760678,48268.2544106,7.5005100796495,0,32.0760383606,32.0760383606,3.70196689698,3.07405393477,306437.713831,3539.23704774964,.471754526284096,2158.34001885001,.287691007811981,1380.89702889963,.184063518472115,29637.3928598026,3.95044865326604,17045.5853503369,2.27205240386378,12591.8075094657,1.67839624940225,11761640.5976602,7767956.22118587,0
